id,timestamp,event_type,severity,source,description,event_id,threat_score
513,2025-12-11T03:17:40.740102,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
512,2025-12-11T03:17:40.733025,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: SYSTEM,4624,10
511,2025-12-11T03:17:40.715086,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
510,2025-12-11T03:17:35.719440,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
509,2025-12-11T03:17:35.715776,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
508,2025-12-11T03:17:35.708965,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
507,2025-12-11T03:17:35.705449,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
506,2025-12-11T03:17:35.701350,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
505,2025-12-11T03:17:35.698356,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
504,2025-12-11T03:17:35.692755,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
503,2025-12-11T03:17:30.867397,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
502,2025-12-11T03:17:30.850068,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
501,2025-12-11T03:17:30.815884,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
500,2025-12-11T03:17:30.795538,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
499,2025-12-11T03:17:30.760240,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
498,2025-12-11T03:17:30.719557,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
497,2025-12-11T03:17:30.691128,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
496,2025-12-11T03:17:25.851284,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
495,2025-12-11T03:17:25.812234,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
494,2025-12-11T03:17:25.774256,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
493,2025-12-11T03:17:25.734108,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
492,2025-12-11T03:17:25.711549,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
491,2025-12-11T03:17:25.692916,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
490,2025-12-11T03:17:25.687560,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
489,2025-12-11T03:17:20.718488,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
488,2025-12-11T03:17:20.713869,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
487,2025-12-11T03:17:20.706132,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
486,2025-12-11T03:17:20.701551,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
485,2025-12-11T03:17:20.696892,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
484,2025-12-11T03:17:20.689712,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
483,2025-12-11T03:17:20.684679,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
482,2025-12-11T03:17:15.722284,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
481,2025-12-11T03:17:15.718274,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
480,2025-12-11T03:17:15.708897,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
479,2025-12-11T03:17:15.703106,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
478,2025-12-11T03:17:15.697763,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
477,2025-12-11T03:17:15.691244,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
476,2025-12-11T03:17:15.682159,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
475,2025-12-11T03:17:10.716594,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
474,2025-12-11T03:17:10.712158,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
473,2025-12-11T03:17:10.702582,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
472,2025-12-11T03:17:10.698547,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
471,2025-12-11T03:17:10.692644,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
470,2025-12-11T03:17:10.686632,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
469,2025-12-11T03:17:10.677861,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
468,2025-12-11T03:17:05.698994,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
467,2025-12-11T03:17:05.694341,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
466,2025-12-11T03:17:05.687065,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
465,2025-12-11T03:17:05.684190,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
464,2025-12-11T03:17:05.679651,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
463,2025-12-11T03:17:05.672650,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
462,2025-12-11T03:17:05.663798,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
461,2025-12-11T03:17:01.353178,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
460,2025-12-11T03:17:01.348563,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
459,2025-12-11T03:17:01.340402,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
458,2025-12-11T03:17:01.335374,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
457,2025-12-11T03:17:01.330241,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
456,2025-12-11T03:17:01.324255,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
455,2025-12-11T03:17:01.319729,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
454,2025-12-11T03:17:01.310769,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
453,2025-12-11T03:17:01.304669,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
452,2025-12-11T03:17:01.297128,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
451,2025-12-11T03:17:01.289927,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
450,2025-12-11T03:17:01.281785,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
449,2025-12-11T03:17:01.274238,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
448,2025-12-11T03:17:01.267087,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
447,2025-12-11T03:17:01.259580,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
446,2025-12-11T03:17:01.252014,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
445,2025-12-11T03:17:01.245657,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
444,2025-12-11T03:17:01.238609,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
443,2025-12-11T03:17:01.231961,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
442,2025-12-11T03:17:01.223138,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
441,2025-12-11T03:17:01.213752,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
440,2025-12-11T03:17:01.206237,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
439,2025-12-11T03:17:01.196897,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
438,2025-12-11T03:17:01.036587,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
437,2025-12-11T03:17:01.028552,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
436,2025-12-11T03:17:01.019501,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
435,2025-12-11T03:17:01.009022,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
434,2025-12-11T03:17:00.956825,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
433,2025-12-11T03:17:00.928759,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
432,2025-12-11T03:17:00.909492,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
431,2025-12-11T03:17:00.890278,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
430,2025-12-11T03:17:00.863340,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
429,2025-12-11T03:17:00.795895,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
428,2025-12-11T03:17:00.763792,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
427,2025-12-11T03:17:00.747576,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
426,2025-12-11T03:17:00.729847,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 149.40.62.31 detected,,70
425,2025-12-11T03:17:00.711902,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
424,2025-12-11T03:17:00.691362,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
423,2025-12-11T03:17:00.679731,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
422,2025-12-11T03:17:00.657552,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 127.0.0.1 detected,,70
421,2025-12-11T03:14:53.718227,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
420,2025-12-11T03:14:53.700088,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
419,2025-12-11T03:14:53.682915,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
418,2025-12-11T03:14:53.664782,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
417,2025-12-11T03:14:53.646672,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
416,2025-12-11T03:14:53.629687,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
415,2025-12-11T03:14:53.624079,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
414,2025-12-11T03:14:53.522473,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 52.35.150.14 detected,,70
413,2025-12-11T03:14:48.726733,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
412,2025-12-11T03:14:48.708815,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
411,2025-12-11T03:14:48.692725,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
410,2025-12-11T03:14:48.673791,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
409,2025-12-11T03:14:48.656850,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
408,2025-12-11T03:14:48.636639,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
407,2025-12-11T03:14:48.621401,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
406,2025-12-11T03:14:43.658144,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
405,2025-12-11T03:14:43.653590,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
404,2025-12-11T03:14:43.641933,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
403,2025-12-11T03:14:43.631875,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
402,2025-12-11T03:14:43.628795,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
401,2025-12-11T03:14:43.624244,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
400,2025-12-11T03:14:43.618621,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
399,2025-12-11T03:14:38.641128,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
398,2025-12-11T03:14:38.638062,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
397,2025-12-11T03:14:38.631349,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
396,2025-12-11T03:14:38.629345,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
395,2025-12-11T03:14:38.626200,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
394,2025-12-11T03:14:38.622642,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
393,2025-12-11T03:14:38.616810,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
392,2025-12-11T03:14:38.520567,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 52.35.150.14 detected,,70
391,2025-12-11T03:14:33.700557,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
390,2025-12-11T03:14:33.685610,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
389,2025-12-11T03:14:33.670383,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
388,2025-12-11T03:14:33.652589,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
387,2025-12-11T03:14:33.635838,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
386,2025-12-11T03:14:33.620020,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
385,2025-12-11T03:14:33.612144,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
384,2025-12-11T03:14:28.719373,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
383,2025-12-11T03:14:28.702896,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
382,2025-12-11T03:14:28.685838,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
381,2025-12-11T03:14:28.665854,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
380,2025-12-11T03:14:28.644677,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
379,2025-12-11T03:14:28.614892,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
378,2025-12-11T03:14:28.608955,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
377,2025-12-11T03:14:23.699818,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
376,2025-12-11T03:14:23.681156,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
375,2025-12-11T03:14:23.661938,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
374,2025-12-11T03:14:23.644333,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
373,2025-12-11T03:14:23.627026,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
372,2025-12-11T03:14:23.610902,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
371,2025-12-11T03:14:23.606674,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
370,2025-12-11T03:14:23.518359,Possible Port Scan,Critical,Network Monitor,Multiple connection attempts to 52.35.150.14 detected,,70
369,2025-12-11T03:14:18.891150,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
368,2025-12-11T03:14:18.843127,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
367,2025-12-11T03:14:18.793215,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
366,2025-12-11T03:14:18.719429,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
365,2025-12-11T03:14:18.661800,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
364,2025-12-11T03:14:18.599214,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
363,2025-12-11T03:14:18.591271,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
362,2025-12-11T03:14:13.966592,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
361,2025-12-11T03:14:13.910234,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
360,2025-12-11T03:14:13.852808,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
359,2025-12-11T03:14:13.791466,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
358,2025-12-11T03:14:13.687700,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
357,2025-12-11T03:14:13.592321,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
356,2025-12-11T03:14:13.582275,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
355,2025-12-11T03:14:08.672310,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
354,2025-12-11T03:14:08.654860,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
353,2025-12-11T03:14:08.639648,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
352,2025-12-11T03:14:08.621255,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
351,2025-12-11T03:14:08.603497,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
350,2025-12-11T03:14:08.587456,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
349,2025-12-11T03:14:08.580595,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
348,2025-12-11T03:14:03.691150,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
347,2025-12-11T03:14:03.669258,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
346,2025-12-11T03:14:03.650024,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
345,2025-12-11T03:14:03.628774,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
344,2025-12-11T03:14:03.605849,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
343,2025-12-11T03:14:03.583163,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
342,2025-12-11T03:14:03.577229,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
341,2025-12-11T03:13:58.671458,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
340,2025-12-11T03:13:58.652120,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
339,2025-12-11T03:13:58.635263,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
338,2025-12-11T03:13:58.619158,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
337,2025-12-11T03:13:58.602768,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
336,2025-12-11T03:13:58.584931,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
335,2025-12-11T03:13:58.574335,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
334,2025-12-11T03:13:53.664495,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
333,2025-12-11T03:13:53.647017,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
332,2025-12-11T03:13:53.630237,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
331,2025-12-11T03:13:53.612926,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
330,2025-12-11T03:13:53.597587,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
329,2025-12-11T03:13:53.578565,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
328,2025-12-11T03:13:53.571362,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
327,2025-12-11T03:13:48.714424,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
326,2025-12-11T03:13:48.688956,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
325,2025-12-11T03:13:48.668255,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
324,2025-12-11T03:13:48.645901,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
323,2025-12-11T03:13:48.622914,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
322,2025-12-11T03:13:48.602378,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
321,2025-12-11T03:13:48.568353,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
320,2025-12-11T03:13:43.608911,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
319,2025-12-11T03:13:43.606374,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
318,2025-12-11T03:13:43.596917,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
317,2025-12-11T03:13:43.591304,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
316,2025-12-11T03:13:43.586765,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
315,2025-12-11T03:13:43.583071,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
314,2025-12-11T03:13:43.565949,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
313,2025-12-11T03:13:38.653441,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
312,2025-12-11T03:13:38.637646,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
311,2025-12-11T03:13:38.621571,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
310,2025-12-11T03:13:38.604723,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
309,2025-12-11T03:13:38.587516,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
308,2025-12-11T03:13:38.569639,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
307,2025-12-11T03:13:38.561060,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
306,2025-12-11T03:13:33.641603,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
305,2025-12-11T03:13:33.626555,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
304,2025-12-11T03:13:33.610369,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
303,2025-12-11T03:13:33.594525,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
302,2025-12-11T03:13:33.578702,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
301,2025-12-11T03:13:33.562724,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
300,2025-12-11T03:13:33.558293,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
299,2025-12-11T03:13:28.670209,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
298,2025-12-11T03:13:28.652184,Successful Logon,Info,Windows Event Log - Security,Successful Logon - User: varunaryan.kumarp11@gmail.com,4624,10
297,2025-12-11T03:13:28.633873,Special Privileges Assigned to New Logon,Warning,Windows Event Log - Security,Special Privileges Assigned to New Logon,4672,75
296,2025-12-11T03:13:28.615054,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
295,2025-12-11T03:13:28.594526,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
294,2025-12-11T03:13:28.565908,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
293,2025-12-11T03:13:28.554697,Logoff,Info,Windows Event Log - Security,Logoff,4634,10
292,2025-12-11T03:13:23.616267,Failed Logon,Critical,Windows Event Log - Security,Failed Logon - User: -,4625,60
291,2025-12-11T03:13:23.567428,Failed Logon,Critical,Windows Event Log - Security,Failed Logon - User: -,4625,60
